age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
57,3,26716,13,0,2,1,4,1,0,0,45,39,<=50K
45,1,185588,13,0,10,4,4,0,0,0,40,39,<=50K
50,3,175029,11,2,10,0,4,1,0,0,40,39,>50K
34,4,34848,13,2,12,0,4,1,0,0,54,39,<=50K
73,1,143437,9,2,3,0,4,1,0,0,20,39,<=50K
34,3,357145,13,2,10,5,4,0,0,0,50,39,>50K
31,3,236861,10,2,12,0,4,1,0,0,55,39,>50K
19,3,53355,7,4,12,1,4,1,0,0,12,39,<=50K
25,3,29106,10,4,7,3,4,0,0,0,50,39,<=50K
38,0,213274,11,0,2,4,4,0,6497,0,40,39,<=50K
39,3,22463,13,2,14,0,4,1,0,0,40,39,<=50K
23,3,180497,13,4,13,3,2,0,0,0,32,39,<=50K
49,3,37306,9,2,6,0,4,1,0,0,40,39,<=50K
33,0,137814,9,4,7,1,4,1,0,0,32,39,<=50K
31,3,220915,11,5,2,1,4,1,0,0,40,39,<=50K
23,3,42251,13,4,3,1,4,0,0,0,45,39,<=50K
34,3,162312,13,2,0,0,1,1,0,0,40,30,<=50K
25,3,77698,9,4,6,1,1,0,0,0,40,30,<=50K
39,3,282951,9,4,2,4,4,1,0,0,40,39,<=50K
52,4,311259,9,2,12,0,4,1,0,0,40,39,>50K
63,1,65479,5,2,14,0,4,1,7688,0,40,39,>50K
41,3,277256,10,2,2,0,4,1,0,0,40,39,<=50K
46,3,312088,13,2,10,0,4,1,15024,0,38,39,>50K
53,1,169719,9,2,3,0,4,1,0,0,40,39,<=50K
25,2,270276,5,5,8,1,4,0,1055,0,40,39,<=50K
18,3,96869,8,4,9,3,4,1,0,0,40,39,<=50K
38,3,237943,15,2,10,0,4,1,0,0,50,39,<=50K
55,3,119751,14,4,3,4,1,0,0,0,50,37,<=50K
34,3,236861,9,2,13,0,4,1,0,0,40,39,>50K
34,3,147215,11,0,13,4,4,0,0,0,60,39,<=50K
52,3,152373,10,2,13,0,4,1,5013,0,40,39,<=50K
42,3,227968,9,4,7,4,2,0,0,0,28,14,<=50K
26,3,362617,10,4,12,1,4,0,0,0,40,39,<=50K
31,3,103435,9,2,14,0,4,1,0,0,40,39,<=50K
25,1,281412,9,4,7,3,4,0,0,0,35,39,<=50K
55,5,105239,9,2,2,0,4,1,0,2057,60,39,<=50K
19,3,230165,10,4,7,3,4,0,0,0,12,39,<=50K
62,5,177493,10,2,14,0,4,1,0,0,32,39,<=50K
22,0,104443,10,4,0,3,4,0,0,0,20,39,<=50K
39,2,110342,9,2,8,5,4,0,0,0,50,39,<=50K
35,3,143385,9,2,5,0,4,1,0,0,40,39,<=50K
28,3,107189,9,2,12,3,4,0,0,0,40,39,<=50K
47,3,212944,9,2,14,0,4,1,0,0,70,39,>50K
44,6,138634,9,2,6,0,4,1,0,0,40,39,<=50K
21,3,99970,10,4,12,3,4,1,0,0,15,39,<=50K
35,3,203717,11,4,2,1,4,1,0,0,50,39,<=50K
24,3,313956,13,2,10,0,4,1,0,0,40,39,>50K
42,0,177937,13,4,10,1,4,1,0,0,40,0,<=50K
28,3,193868,13,4,13,3,4,1,0,0,50,39,<=50K
21,3,250939,10,4,6,2,4,1,0,0,35,39,<=50K
62,0,57629,10,0,13,1,2,1,4650,0,40,39,<=50K
39,3,281768,9,4,7,1,2,0,0,0,40,39,<=50K
30,6,260782,9,4,7,1,4,1,0,0,40,39,<=50K
72,5,243769,15,4,10,1,4,1,0,1429,20,39,<=50K
50,3,109937,10,2,3,5,4,0,0,0,50,39,<=50K
28,1,134890,14,4,10,1,4,1,0,0,40,39,<=50K
29,3,100293,10,4,10,1,4,0,0,0,40,39,<=50K
26,3,132179,13,4,0,3,4,0,0,0,40,39,<=50K
27,3,116372,14,4,3,1,4,0,0,0,40,39,<=50K
29,3,255412,10,2,5,0,4,1,3103,0,40,39,>50K
61,2,195789,9,2,8,0,4,1,0,0,40,39,<=50K
29,3,342400,6,2,2,0,4,1,0,0,25,39,<=50K
21,2,65481,10,4,8,3,4,0,0,0,30,39,<=50K
31,3,169085,7,2,12,5,4,0,0,0,20,39,<=50K
25,3,177221,9,2,3,0,4,1,0,0,75,39,<=50K
58,3,65325,6,2,14,0,4,1,0,0,40,39,>50K
64,3,118944,10,2,3,5,4,0,0,0,40,39,>50K
46,6,149337,14,4,3,1,4,1,0,0,38,39,<=50K
53,2,237868,9,2,8,0,4,1,0,0,35,39,>50K
19,3,106183,9,4,7,3,0,0,0,0,35,39,<=50K
42,3,226388,9,0,7,1,2,1,0,0,52,39,<=50K
18,3,220754,7,4,5,3,4,1,0,0,24,39,<=50K
58,4,204021,13,2,2,0,4,1,15024,0,50,39,>50K
20,3,347391,10,4,11,1,2,1,0,0,60,39,<=50K
35,0,413930,9,2,2,0,4,1,0,0,40,39,>50K
32,3,174201,9,2,5,0,4,1,0,0,38,39,>50K
23,3,145917,9,4,5,1,4,0,0,0,25,39,<=50K
31,3,241797,10,0,13,4,4,0,0,0,40,39,<=50K
33,3,265168,13,2,12,0,2,1,0,0,55,39,<=50K
41,3,171234,10,4,6,1,4,0,0,0,48,39,<=50K
22,3,178452,9,4,6,3,2,1,0,0,40,39,<=50K
46,3,157857,10,2,11,0,4,1,0,0,40,39,>50K
61,0,512864,10,2,14,0,2,1,0,0,40,39,<=50K
30,3,296462,9,4,3,1,2,1,0,0,40,39,<=50K
42,3,171615,9,2,3,0,4,1,0,0,55,39,>50K
63,3,214071,6,2,5,0,4,1,0,0,40,39,<=50K
26,3,172421,10,2,12,0,4,1,0,0,40,39,<=50K
42,3,195488,6,0,0,4,4,0,0,0,40,39,<=50K
23,3,316841,10,2,7,0,4,1,0,0,40,39,<=50K
25,3,236267,9,4,6,4,4,1,0,1590,40,39,<=50K
30,3,236543,5,2,7,0,4,1,0,0,32,8,>50K
23,3,318483,9,4,12,3,4,1,0,0,40,39,<=50K
34,5,163756,11,4,4,1,4,1,27828,0,60,39,>50K
30,3,238186,9,2,6,2,4,1,0,2057,48,39,<=50K
39,3,329980,10,2,2,0,4,1,0,0,40,39,>50K
30,3,169269,7,4,5,2,4,1,0,1721,38,33,<=50K
38,1,34744,10,0,0,4,4,0,0,0,38,39,<=50K
26,3,98114,9,0,3,3,4,0,0,0,40,39,<=50K
20,3,109667,10,4,5,3,4,1,0,0,16,39,<=50K
37,1,263690,13,4,10,4,2,1,0,0,40,0,<=50K
33,3,147430,9,2,0,3,4,0,0,0,40,39,<=50K
24,3,224238,13,4,0,3,4,1,0,0,40,39,<=50K
42,4,212894,13,2,3,0,4,1,0,0,60,39,>50K
51,5,136708,9,2,12,0,1,1,3103,0,84,40,<=50K
56,1,38573,12,2,13,0,4,1,0,0,45,39,>50K
22,3,197200,10,4,5,3,4,1,0,0,40,39,<=50K
52,5,182796,10,2,4,0,4,1,0,0,60,39,<=50K
44,3,184527,13,0,3,4,4,0,4934,0,45,39,>50K
34,3,145231,9,2,0,5,4,0,4064,0,35,39,<=50K
51,3,43354,10,0,2,1,4,1,0,0,42,39,>50K
20,2,318865,10,4,8,1,4,1,0,0,40,39,<=50K
19,3,355712,10,4,12,1,4,0,0,0,25,39,<=50K
37,3,98776,13,2,3,0,4,1,0,0,40,39,>50K
68,3,257557,9,2,6,0,2,1,0,0,40,39,>50K
22,3,102258,10,0,11,1,4,1,0,0,40,39,<=50K
56,4,170287,13,2,3,0,4,1,0,0,40,39,<=50K
37,3,243409,9,2,2,0,4,1,0,0,40,39,<=50K
26,3,248057,9,5,5,3,4,1,0,0,40,33,<=50K
33,3,95530,14,2,10,0,4,1,0,0,50,39,<=50K
45,1,54038,14,0,10,4,4,0,0,0,42,39,<=50K
18,3,161245,7,4,7,3,4,1,0,0,15,39,<=50K
43,5,388725,10,2,4,0,4,1,0,0,60,39,>50K
64,5,71807,16,2,10,0,4,1,15024,0,50,0,>50K
18,3,228216,9,4,5,3,4,1,0,0,20,39,<=50K
20,2,303121,10,4,8,3,4,1,0,0,45,39,<=50K
57,3,78020,9,2,2,0,4,1,0,0,40,39,>50K
41,3,249254,9,0,0,4,4,0,3674,0,42,39,<=50K
34,3,87218,14,2,3,0,4,1,0,1887,50,39,>50K
19,3,304299,9,4,12,4,4,0,0,0,40,39,<=50K
44,3,196234,5,0,7,4,4,0,0,0,55,6,<=50K
56,3,197875,6,6,7,4,4,0,0,0,40,39,<=50K
36,4,48063,9,2,4,0,4,1,0,0,80,39,<=50K
48,3,253596,13,0,3,4,4,0,0,0,48,39,<=50K
29,3,39257,9,2,14,0,4,1,0,0,40,39,>50K
33,3,56150,13,4,2,1,4,1,2174,0,40,39,<=50K
39,3,252445,14,2,10,0,4,1,0,0,45,39,>50K
66,3,275918,9,2,3,0,4,1,10605,0,40,39,>50K
27,3,106562,13,4,10,1,4,0,0,0,50,39,>50K
39,3,198654,9,0,3,4,2,0,99999,0,40,39,>50K
26,3,181896,9,4,7,3,4,0,0,0,40,39,<=50K
31,3,106014,11,0,2,4,4,1,0,0,40,39,<=50K
45,2,319993,9,6,8,4,4,0,0,0,40,26,<=50K
23,3,197997,9,4,5,3,4,1,0,0,30,39,<=50K
36,1,173542,9,0,0,4,4,0,0,0,40,39,<=50K
34,3,207564,10,2,7,5,4,0,0,0,12,39,>50K
32,3,224462,9,2,14,0,4,1,0,0,84,39,>50K
37,3,123361,13,2,10,0,2,1,0,0,50,39,>50K
33,3,90409,13,4,12,1,4,1,0,0,45,39,<=50K
50,5,165001,15,2,10,0,4,1,99999,0,80,39,>50K
32,0,149573,12,4,11,1,2,1,0,0,40,39,<=50K
35,3,249456,13,4,0,3,2,0,0,0,40,39,<=50K
37,3,149898,7,2,2,0,4,1,0,0,40,39,<=50K
44,3,292985,10,0,2,1,4,1,0,0,60,39,<=50K
57,3,50223,10,0,5,2,4,1,0,0,25,39,<=50K
29,1,400074,10,2,3,3,4,0,0,0,40,39,<=50K
55,3,197399,9,2,2,0,4,1,0,0,50,39,>50K
43,4,209547,15,2,10,0,4,1,0,0,25,39,>50K
43,3,52433,10,2,12,0,4,1,0,0,70,39,<=50K
45,5,355978,10,2,12,0,4,1,0,0,60,39,>50K
33,5,48214,14,2,10,5,4,0,0,0,8,39,<=50K
26,3,190873,6,0,7,4,4,0,0,0,40,11,<=50K
23,3,278390,10,2,12,0,4,1,0,0,68,39,<=50K
24,3,279175,9,2,2,0,4,1,0,0,40,39,<=50K
47,5,194590,13,2,12,0,4,1,0,0,44,39,<=50K
34,5,198813,9,4,2,3,4,1,0,0,45,39,<=50K
40,3,187294,9,2,3,0,4,1,0,0,40,39,>50K
28,3,302903,13,2,10,5,1,0,0,1485,40,39,<=50K
24,3,154835,9,4,3,3,1,0,0,0,40,35,<=50K
73,2,73402,10,2,8,0,4,1,0,0,10,39,<=50K
23,3,100345,9,4,2,2,4,1,0,0,15,39,<=50K
43,5,126320,9,2,3,0,2,1,0,0,40,39,>50K
26,3,142226,13,0,13,1,4,0,0,0,40,39,<=50K
58,5,112076,16,1,3,5,4,0,0,1485,35,39,>50K
52,3,225339,9,6,0,4,2,0,0,0,35,39,<=50K
29,3,211208,7,2,14,0,4,1,0,0,99,39,>50K
47,3,200808,7,2,7,0,4,1,0,0,35,4,<=50K
49,3,220618,9,0,0,4,2,0,0,0,37,39,<=50K
40,3,210493,7,6,0,4,4,0,0,0,40,39,<=50K
62,5,369734,9,2,0,5,4,0,0,0,40,39,<=50K
49,3,27898,9,2,3,0,4,1,0,1977,55,39,>50K
50,3,138193,13,0,10,2,4,0,0,0,50,39,>50K
31,3,224234,9,4,14,3,2,1,0,0,40,39,<=50K
48,1,188741,14,4,10,1,4,0,0,0,50,39,<=50K
24,3,183772,9,4,2,4,4,0,0,0,40,39,<=50K
41,2,155041,9,4,8,3,4,0,3418,0,40,39,<=50K
37,3,79586,9,5,6,3,1,1,0,0,60,39,<=50K
45,3,355781,13,2,3,0,1,1,0,0,45,24,>50K
63,2,156158,9,2,8,0,4,1,0,0,16,39,<=50K
36,3,116358,14,2,3,0,1,1,0,0,45,19,<=50K
45,3,59287,13,2,3,0,4,1,0,0,40,39,<=50K
41,3,138868,13,4,12,1,4,0,0,0,40,39,<=50K
26,3,185885,12,4,13,2,4,0,0,0,20,39,<=50K
17,3,40299,7,4,12,3,4,0,0,0,25,39,<=50K
27,3,500068,9,2,7,0,4,1,0,0,36,0,<=50K
43,3,51494,9,2,6,0,4,1,0,0,65,39,<=50K
35,3,179481,9,4,14,3,4,1,0,0,55,39,<=50K
38,3,365907,13,0,0,4,4,0,0,0,40,39,<=50K
26,3,284343,9,4,6,1,4,1,0,0,40,39,<=50K
28,3,204862,10,4,3,3,4,0,0,0,40,39,<=50K
38,3,272476,13,2,10,5,4,0,0,0,24,39,>50K
36,3,175130,7,0,14,4,4,0,0,0,40,39,<=50K
33,3,118941,9,2,0,5,4,0,0,0,40,39,>50K
19,3,164339,9,4,5,3,4,1,1055,0,70,39,<=50K
22,2,213291,12,4,8,3,4,1,0,0,25,39,<=50K
42,0,55457,6,2,0,0,4,1,0,0,40,26,<=50K
50,3,280292,6,2,14,0,4,1,0,0,40,39,>50K
30,3,446894,9,2,5,0,4,1,0,0,30,39,<=50K
37,6,67083,10,2,10,2,1,1,0,0,40,1,<=50K
54,4,159219,15,2,10,0,4,1,99999,0,40,39,>50K
52,4,168539,13,4,3,1,4,1,0,0,40,39,<=50K
33,3,150309,9,0,2,1,4,0,0,0,40,39,<=50K
25,3,122999,10,4,13,2,4,1,0,0,40,39,<=50K
24,3,302195,13,4,12,1,4,1,0,0,45,39,<=50K
26,3,210982,11,5,0,4,2,0,114,0,40,39,<=50K
39,3,177140,9,5,0,1,4,1,0,0,40,39,>50K
59,3,113838,9,0,7,1,4,0,0,0,40,39,<=50K
29,3,97165,10,4,0,4,4,0,0,0,40,39,<=50K
47,3,104301,7,4,7,3,4,0,0,0,45,39,<=50K
23,2,192028,10,4,8,3,4,0,0,0,35,39,<=50K
64,4,115931,9,2,14,0,4,1,0,0,50,39,<=50K
21,3,147280,9,4,7,3,3,1,0,0,20,39,<=50K
32,3,185433,10,2,0,5,2,0,0,0,40,39,>50K
26,3,599057,9,4,3,1,2,0,0,0,37,39,<=50K
19,2,50626,10,4,8,3,2,0,0,0,20,39,<=50K
62,5,71467,14,2,10,0,4,1,0,0,40,39,<=50K
32,3,183977,13,2,2,0,4,1,0,0,55,39,>50K
75,2,26586,6,3,8,1,4,0,0,0,5,39,<=50K
45,5,196858,9,2,3,0,4,1,0,0,60,39,<=50K
31,3,160594,13,2,3,0,4,1,0,1887,50,39,>50K
32,3,65278,9,2,0,0,4,1,2580,0,40,39,<=50K
24,3,102258,13,2,12,0,4,1,0,0,40,39,<=50K
25,3,196947,13,4,12,3,4,0,0,0,40,39,<=50K
41,5,233150,9,2,3,0,4,1,0,0,60,39,<=50K
18,3,42857,10,4,12,3,4,0,0,0,20,39,<=50K
44,3,118059,16,2,10,0,4,1,0,0,55,39,>50K
40,3,169262,10,2,3,0,4,1,3411,0,50,39,<=50K
27,3,95108,13,4,10,1,4,1,0,0,40,39,<=50K
23,3,161092,13,4,0,3,4,1,0,0,40,39,<=50K
21,3,345253,10,4,0,1,3,1,2174,0,40,39,<=50K
37,6,111275,9,2,14,0,4,1,0,0,40,39,<=50K
65,5,178878,9,2,4,0,4,1,0,0,48,39,<=50K
